Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
......4.25..........3.6..7.............6....5.745.2.613.62.8...15...6.28..87...4.,26,40,22,2,0,2,0,3,2,Expert,
...8......7.1...4..9....28.3....26..98...3.7.21.6.9.........4.......7.68.......91,24,40,17,2,0,0,0,0,0,Intermediate,
2.897.4.1.1.....57..4....8..8...519...71..8.....4.6.758.6..4.....5......49.......,28,36,16,0,0,0,0,1,0,Expert,
6.935.8.78..6..........9....5...69.3.8..4.7.2..7.2....73.265......7.......2.38...,28,55,11,2,1,3,0,5,4,Expert,
1...7.63.....5...2.9..3..1........91....697.3......4..3.6.9..5.52...3.....1..5.46,27,34,18,1,1,2,0,2,0,Expert,
.......5.2.8.69......85.7.2..29...14..71..8..6.....5..8964............4.......9..,24,43,14,0,0,0,0,0,0,Easy,
1..6...723....94..6...34..9..2.9..18.1..6...7.........7......2..437.8...2....3...,26,50,10,3,0,2,1,2,2,Expert,
.38...5..642...8..5.....6.7....36..1..65.1.82.5..7...6.2....17..7...8...4.1......,28,49,4,1,0,0,0,0,0,Intermediate,
1..93..6.49.5.73...8......7.3.6.48.....75..315........6....91....7......9.......8,26,50,5,0,0,0,0,0,0,Easy,
......3..8....49.1.....7..836.9........6.14..49....7.6...4.819.5...3.6.........5.,25,48,8,0,0,0,0,0,0,Easy,
.5.13...2.86..219...1..67...2.........8.....9..76......63.8.51.9....5.3......7...,26,45,10,0,0,0,0,0,0,Easy,
..8...25.27.1...3..........8...5...77.5...9.......9.4..21....744..81...2.....7.1.,25,66,14,2,0,1,0,3,2,Expert,
16.98.5.4...6...3.8.9.4.....3....4.16...9..734.....65...5.73......41.......5.....,27,41,11,2,0,0,0,2,0,Expert,
6..9..2...........9.31....43.7..6.5.1....7..6..9.....37....1.6.......9..2..53.41.,25,40,15,2,2,0,1,1,0,Expert,
.6..9.2.48.4....7..........72...361..4.7....8..1.....3.......6..32.18...61.2..8..,26,36,18,1,0,0,0,1,0,Expert,
..5.......92...78....638...576.8..2.83................9...6...7...2.985....7.13..,25,44,12,0,0,0,0,0,0,Easy,
.........429......7...9.......27..5....5..9.2....3164..61..97..5..72....9...4.3..,25,48,8,3,0,2,0,0,0,Intermediate,
..6....9......8..1.....5....62...7.515.2.......9......68.1.7.4.9...56..8.4...2.7.,25,56,16,1,1,4,0,2,2,Expert,
.7.4.....1....9...8.4.7.....12......6.3.8........94..1.2...379....2.......6....83,23,31,27,0,0,0,0,0,0,Easy,
..8..4.1...7..3..5..19..4...8.7..6.3.7.8......5..16..9.6.5.9......6.8.........9.4,26,43,12,0,0,0,0,0,0,Easy,
9..64..7...1....9..53.....6....6....7....9.2..2.......216...5....53..6.7........9,23,45,13,0,0,0,0,0,0,Easy,
783....1.2...8.3.....9.....3....19.7.7......2..6.9.....4.....96....264..8.2......,24,79,24,0,0,3,1,8,14,Expert,
